image_id,embedding,factual_correctness_score
000000000139,"[-0.50898165 -0.19490847  0.70318544 ... -0.67216694  0.55899286
  0.12646629]",0.7940048813819885
000000000285,"[-0.25934169  0.39193028 -0.15594479 ... -0.49259874  0.82145727
  0.4351531 ]",0.8047259211540222
000000000632,"[ 0.30691227 -0.01957608  0.36321759 ... -0.14349458  0.69259375
  0.15282136]",0.8563866138458252
000000000724,"[-0.16364679 -0.11485782 -0.18627091 ... -0.81684154  0.67354023
 -0.14105481]",0.8805362462997437
000000000776,"[-1.07338727  0.68870682  0.55398595 ... -1.02743053  0.57416499
  0.50540334]",0.8610082387924194
000000000785,"[-0.07172146 -0.07410604  0.19188441 ... -0.38759652  0.41860953
  0.30500036]",0.8227168679237366
000000000802,"[-0.58955705 -0.26281622  0.32674217 ... -0.9263258   0.47119209
  0.28366378]",0.8402239680290222
000000000872,"[-0.32830483  0.00479057  0.04633582 ... -0.46972275  1.0569402
  0.10005457]",0.8303861737251281
000000000885,"[-0.0608395  -0.12546809  0.30645898 ... -0.54648924  1.205181
  0.04515412]",0.7382014513015747
000000001000,"[ 0.11126212  0.13024348  0.21187441 ... -0.33715004  1.10790277
  0.19494632]",0.8871046900749207
000000001268,"[-0.29361841  0.0029086   0.18782684 ... -0.64664692  0.78867078
  0.07763523]",0.8416165709495544
000000001296,"[-0.28838104  0.02408715  0.53718758 ... -0.58023983  0.93417448
  0.41006315]",0.9032963991165162
000000001353,"[-0.02850128 -0.43790191  0.80377454 ... -0.42150104  0.7727862
  0.39307609]",0.9054550886154175
000000001425,"[-0.619497   -0.2214161   0.24156058 ... -0.6635946   0.30720001
  0.21922497]",0.8510885119438172
000000001490,"[-0.73733073  0.12452374  0.28116134 ... -0.7610662   0.46409523
  0.04910155]",0.8596910238265991
000000001503,"[-0.08770537 -0.2533471   0.77256638 ... -0.54304248  0.67655408
  0.62524319]",0.8795329928398132
000000001532,"[-0.08173617 -0.04169291  0.31707719 ... -0.44756591  0.83003825
 -0.0581697 ]",0.8662249207496643
000000001584,"[-0.12752837 -0.15357161 -0.08790373 ... -0.83047682  0.52431667
  0.13497722]",0.8591203331947327
000000001675,"[-0.62048417  0.25301963 -0.04683398 ... -0.68165565  0.75780028
  0.00461825]",0.9002625346183777
000000001761,"[-0.64498812 -0.12336847  0.08062192 ... -1.02202725  0.45914325
  0.09128239]",0.7586132049560547
000000001818,"[ 0.17080928  0.05235469  0.22901322 ... -0.32434866  1.21970212
  0.39980906]",0.836824631690979
000000001993,"[-0.07149622 -0.4552182   0.33747146 ... -0.84910029  0.76856226
  0.16250296]",0.8772678256034852
000000002006,"[ 0.02276105 -0.412936   -0.17880547 ... -0.54538822  0.48087028
  0.08952332]",0.8162285208702087
000000002149,"[-0.18999447 -0.24120018 -0.53451562 ... -0.46176091  1.39784551
 -0.85056758]",0.8930855512619018
000000002153,"[-0.45244703 -0.08300523 -0.0521883  ... -0.43976024  0.38279855
  0.59759355]",0.7246829390525817
