image_id,embedding,factual_correctness_score
000000000139,"[ 0.24265994  0.35829788 -0.74065286 ...  0.07406758  0.12567392
  0.24459675]",0.7940048813819885
000000000285,"[ 0.32977667  0.5640434  -0.65019351 ... -0.04344539  0.32360685
  0.29167402]",0.8047259211540222
000000000632,"[ 0.23898342  0.27998865 -0.68058562 ... -0.00866549  0.10214007
  0.08343312]",0.8563866138458252
000000000724,"[ 0.41197971  0.34577951 -0.63978362 ... -0.08599073  0.22567204
  0.06274135]",0.8805362462997437
000000000776,"[ 0.07500386  0.22668706 -0.73560572 ... -0.20466419  0.27777782
  0.42331037]",0.8610082387924194
000000000785,"[ 0.39814129  0.25481901 -0.52408975 ...  0.07698319  0.33094409
  0.28194687]",0.8227168679237366
000000000802,"[ 0.18942046  0.37815914 -0.71774566 ... -0.04590303  0.20285565
  0.20064133]",0.8402239680290222
000000000872,"[ 0.34508204  0.25975963 -0.51757807 ... -0.13198948  0.23948728
  0.11865192]",0.8303861737251281
000000000885,"[ 0.68275136  0.11549314 -0.47658724 ...  0.01632327  0.43996081
  0.34385687]",0.7382014513015747
000000001000,"[ 0.21161909  0.45530361 -0.60280859 ...  0.02666371  0.22133023
  0.1403963 ]",0.8871046900749207
000000001268,"[ 0.39158896  0.33124387 -0.4554278  ... -0.07950647  0.19378228
  0.13559709]",0.8416165709495544
000000001296,"[ 0.25738376  0.49080241 -0.45707136 ...  0.0224522   0.48729971
  0.21238811]",0.9032963991165162
000000001353,"[ 0.22625443  0.35355604 -0.68677258 ... -0.09164391  0.33190978
  0.30108875]",0.9054550886154175
000000001425,"[ 0.41593632  0.33394536 -0.66625172 ... -0.19396843  0.47294059
  0.15032381]",0.8510885119438172
000000001490,"[ 0.70368505  0.29506975 -0.7038362  ... -0.07629194  0.31126335
  0.33113295]",0.8596910238265991
000000001503,"[ 0.41412905  0.20183414 -0.62973315 ... -0.01901628  0.16799581
  0.30736676]",0.8795329928398132
000000001532,"[ 0.37125126  0.21731609 -0.51540333 ... -0.00837914  0.27465716
  0.16160493]",0.8662249207496643
000000001584,"[ 0.39747965  0.34593999 -0.61132711 ...  0.06407326  0.44020554
  0.13326418]",0.8591203331947327
000000001675,"[ 0.48521525  0.22592749 -0.69390273 ... -0.08146806  0.24431746
  0.31175116]",0.9002625346183777
000000001761,"[ 0.55464047  0.19632179 -0.62579322 ...  0.04181077  0.28661689
  0.17147073]",0.7586132049560547
000000001818,"[ 0.36648259  0.42731172 -0.52740479 ... -0.08696462  0.44492468
  0.3612611 ]",0.836824631690979
000000001993,"[ 0.37832442  0.30829269 -0.66147298 ... -0.04192866  0.12297136
  0.25993511]",0.8772678256034852
000000002006,"[ 0.12245607  0.30159304 -0.50637746 ...  0.00665792  0.36438787
  0.14439814]",0.8162285208702087
000000002149,"[ 0.4229683   0.13659704 -0.75936747 ... -0.03565288  0.5069418
  0.30333227]",0.8930855512619018
000000002153,"[ 0.5739978   0.13078898 -0.34106857 ... -0.06420744  0.54911
  0.41472399]",0.7246829390525817
